Key,File,Type,English
TwitchAction_HardmodeDesc,twitch,Actions,"Increases zombie health, and adds regen to all zombies in range."
TwitchAction_BogOfEternalStenchCommand,twitch,Actions,#bog_of_eternal_stench
TwitchAction_BogOfEternalStench,twitch,Actions,Bog of Eternal Stench
TwitchAction_BogOfEternalStenchDesc,twitch,Actions,Infects nearby players
TwitchAction_WalkItOffCommand,twitch,Actions,#walk_it_off
TwitchAction_WalkItOff,twitch,Actions,Walk It Off
TwitchAction_WalkItOffDesc,twitch,Actions,Causes the player to take damage when they move in any way other than walking.
TwitchAction_WeakKneesCommand,twitch,Actions,#weak_knees
TwitchAction_WeakKnees,twitch,Actions,Weak Knees
TwitchAction_WeakKneesDesc,twitch,Actions,"Damages the player when they take any fall damage, and reduces jumping ability."
TwitchAction_HangoverCommand,twitch,Actions,#hangover
TwitchAction_Hangover,twitch,Actions,Hangover
TwitchAction_HangoverDesc,twitch,Actions,Drinking too much makes you sick.
TwitchAction_BerserkCommand,twitch,Actions,#berserk
TwitchAction_Berserk,twitch,Actions,Berserk
TwitchAction_BerserkDesc,twitch,Actions,"Increases player's movement speed, attack speed, and stamina regen"
TwitchAction_RingOfShockCommand,twitch,Actions,#ring_of_shock
TwitchAction_RingOfShock,twitch,Actions,Ring of Shock
TwitchAction_RingOfShockDesc,twitch,Actions,AOE effect that shocks nearby zombies and animals.
TwitchAction_RingOfLoveCommand,twitch,Actions,#ring_of_love
TwitchAction_RingOfLove,twitch,Actions,Ring of Love
TwitchAction_RingOfLoveDesc,twitch,Actions,AOE effect that heals nearby zombies and animals.
TwitchAction_RingOfLoveTeamCommand,twitch,Actions,#ring_of_love_team
TwitchAction_RingOfLoveteam,twitch,Actions,Ring of Love (Players)
TwitchAction_RingOfLoveTeamDesc,twitch,Actions,AOE effect that heals nearby players.
TwitchAction_GlitchCommand,twitch,Actions,#glitch
TwitchAction_Glitch,twitch,Actions,Glitch
TwitchAction_GlitchDesc,twitch,Actions,Removes a block or small amount of terrain under the player's feet.
TwitchAction_HighStakesCommand,twitch,Actions,#high_stakes
TwitchAction_HighStakes,twitch,Actions,High Stakes
TwitchAction_HighStakesDesc,twitch,Actions,"If the player dies with this effect active, it resets the player's skills, quests, discovery, books, perks, bedrolls, and landclaims."
TwitchAction_FlyCommand,twitch,Actions,#fly_like_a_bird
TwitchAction_Fly,twitch,Actions,Fly Like a Bird
TwitchAction_FlyDesc,twitch,Actions,"Teleports the player into the sky. Can't be used when the player is in a safe zone, on a quest, or in a vehicle."
TwitchAction_JunkyardCommand,twitch,Actions,#junkyard
TwitchAction_Junkyard,twitch,Actions,Junkyard
TwitchAction_JunkyardDesc,twitch,Actions,"Places a mixture of explosive barrels and cars around the player"
TwitchAction_EncumberanceCommand,twitch,Actions,#dead_weight
TwitchAction_Encumberance,twitch,Actions,Dead Weight
TwitchAction_EncumberanceDesc,twitch,Actions,"Fills the player's inventory with roadkill"
TwitchAction_ReturnToOzCommand,twitch,Actions,#return_to_oz
TwitchAction_ReturnToOz,twitch,Actions,Return to Oz
TwitchAction_ReturnToOzDesc,twitch,Actions,"Surrounds the player with mannequins"
TwitchAction_FreshMeatCommand,twitch,Actions,#fresh_meat
TwitchAction_FreshMeat,twitch,Actions,Fresh Meat
TwitchAction_FreshMeatDesc,twitch,Actions,"Enrages all nearby zombies and makes the player a target."
TwitchAction_SpawnRandomAnimalCommand,twitch,Actions,#animal_grab_bag
TwitchAction_SpawnRandomAnimal,twitch,Actions,Animal Grab Bag
TwitchAction_SpawnRandomAnimalDesc,twitch,Actions,"Spawns a random hostile animal."
TwitchAction_SneezeCommand,twitch,Actions,#sneeze
TwitchAction_Sneeze,twitch,Actions,Sneeze
TwitchAction_SneezeDesc,twitch,Actions,"Randomly teleports the player a medium distance over 30 seconds."
TwitchAction_HiccupsCommand,twitch,Actions,#hiccups
TwitchAction_Hiccups,twitch,Actions,Hiccups
TwitchAction_HiccupsDesc,twitch,Actions,"Randomly teleports the player a short distance over 30 seconds."
TwitchAction_BanishedCommand,twitch,Actions,#banished
TwitchAction_Banished,twitch,Actions,Banished
TwitchAction_BanishedDesc,twitch,Actions,"Teleports the player a huge distance and resets map data and waypoints."
TwitchAction_GiveXPCommand,twitch,Actions,#touch_of_wisdom
TwitchAction_GiveXP,twitch,Actions,Touch of Wisdom
TwitchAction_GiveXPDesc,twitch,Actions,"Gives the player a small amount of XP."
TwitchAction_SanctuaryCommand,twitch,Actions,#sanctuary
TwitchAction_Sanctuary,twitch,Actions,Sanctuary
TwitchAction_SanctuaryDesc,twitch,Actions,"Places a maze of glass blocks around the player."
TwitchAction_ArenaCommand,twitch,Actions,#horde_arena
TwitchAction_Arena,twitch,Actions,Horde Arena
TwitchAction_ArenaDesc,twitch,Actions,"Zombies will spawn in waves. Kill all the zombies from a wave to get the next stage level. How many stages can you clear?"
TwitchAction_BearScareCommand,twitch,Actions,#bear_scare
TwitchAction_BearScare,twitch,Actions,Bear Scare
TwitchAction_BearScareDesc,twitch,Actions,"Turns all nearby zombies into bears."
TwitchAction_ChickenOutCommand,twitch,Actions,#chicken_out
TwitchAction_ChickenOut,twitch,Actions,Chicken Out
TwitchAction_ChickenOutDesc,twitch,Actions,"Turns all nearby zombies into chickens"
TwitchAction_FowlPlayCommand,twitch,Actions,#fowl_play
TwitchAction_FowlPlay,twitch,Actions,Fowl Play
TwitchAction_FowlPlayDesc,twitch,Actions,"Evolves all chickens into murder turkeys"
TwitchAction_BuffPowerlessCommand,twitch,Actions,#powerless
TwitchAction_BuffPowerless,twitch,Actions,Powerless
TwitchAction_BuffPowerlessDesc,twitch,Actions,"All nearby zombies are more resistant to damage"
TwitchAction_SpawnRandomZombieCommand,twitch,Actions,#zombie_grab_bag
TwitchAction_SpawnRandomZombie,twitch,Actions,Zombie Grab Bag
TwitchAction_SpawnRandomZombieDesc,twitch,Actions,"Spawns a horde of random zombies."
TwitchAction_SpawnRandomLegendaryZombieCommand,twitch,Actions,#legendary_zombie_grab_bag
TwitchAction_SpawnRandomLegendaryZombie,twitch,Actions,Legendary Zombie Grab Bag
TwitchAction_SpawnRandomLegendaryZombieDesc,twitch,Actions,"Spawns a random Legendary zombie."

TwitchAction_GiveUpCommand,twitch,Actions,#give_up
TwitchAction_GiveUp,twitch,Actions,Give Up
TwitchAction_GiveUpDesc,twitch,Actions,"type #give_up in chat to remove all zombies."
TwitchAction_HardResetCommand,twitch,Actions,#playerreset
TwitchAction_HardReset,twitch,Actions,Player Reset
TwitchAction_HardResetDesc,twitch,Actions,"type #playerreset in chat to fully reset your character."

cntTIBarrel,blocks,Container,"Lucky Barrel"
cntTICar,blocks,Container,"Lucky Car Wreck"
